,ID,Year_Birth,Education,Marital_Status,Income,Kidhome,Recency,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,cluster
45,6566,1954,PhD,Married,72550,1,39,9,5,2,12,8,1
46,8614,1957,Graduation,Widow,65486,0,29,1,4,2,10,2,0
47,4114,1964,Master,Married,79143,0,2,1,6,9,13,3,0
48,1331,1977,Graduation,Single,35790,1,54,2,2,0,3,7,2
49,2225,1977,Graduation,Divorced,82582,0,54,1,4,9,7,1,0
50,9381,1978,Graduation,Married,66373,1,57,7,4,2,10,3,1
51,6260,1955,Master,Together,82384,0,55,1,3,10,13,1,0
52,10383,1966,Graduation,Divorced,70287,0,30,1,5,5,10,3,0
53,7437,1988,Graduation,Single,27938,1,31,1,1,0,4,3,2
54,8375,1968,PhD,Married,55954,0,63,3,8,2,6,7,1
55,6853,1982,Master,Single,75777,0,12,1,3,6,11,1,0
56,3076,1975,Graduation,Together,66653,1,18,4,4,2,12,3,0
57,1012,1952,Graduation,Single,61823,0,26,4,8,2,10,7,1
58,6518,1951,PhD,Widow,67680,0,8,1,7,3,8,5,0
59,4137,1948,Graduation,Together,70666,0,29,1,7,4,4,4,0
60,8082,1971,Graduation,Married,25721,1,75,1,1,1,2,7,2
61,1386,1967,Graduation,Together,32474,1,0,1,1,0,2,7,2
62,9369,1979,2n Cycle,Single,88194,0,19,1,11,10,10,5,0
63,4477,1958,Graduation,Together,69096,0,4,1,5,2,10,4,0
64,1357,1970,Graduation,Together,74854,1,90,7,2,5,5,5,1
65,1402,1954,Master,Married,66991,0,1,3,4,8,6,3,0
66,6312,1959,Graduation,Married,65031,0,29,4,10,3,13,7,1
67,8132,1975,PhD,Married,60631,1,88,5,9,2,8,7,1
68,1050,1952,Graduation,Married,28332,0,58,1,2,1,4,2,2
69,5846,1977,Graduation,Divorced,40246,1,68,1,1,0,2,6,2
70,1859,1972,Master,Married,75251,0,34,1,7,6,5,5,0
71,7503,1976,Graduation,Single,75825,0,40,0,5,8,9,4,0
72,10401,1976,2n Cycle,Together,26326,0,12,1,0,0,3,3,2
73,1618,1965,Graduation,Together,56046,0,9,2,10,1,8,8,1
74,3332,1985,Graduation,Single,29760,1,87,4,3,1,4,8,2
75,2261,1969,Graduation,Married,26304,1,5,1,1,0,2,7,2
76,5346,1973,2n Cycle,Married,23559,1,87,3,3,0,3,7,2
77,4119,1963,Master,Together,38620,0,56,1,2,5,3,3,2
78,535,1987,Graduation,Divorced,81361,0,18,1,3,10,13,1,0
79,5268,1960,Graduation,Married,29440,1,95,2,1,0,4,7,2
80,273,1970,Master,Married,36138,1,48,5,3,1,4,7,2
81,4452,1957,Graduation,Single,50388,0,3,4,6,1,6,7,1
82,8504,1973,Graduation,Married,79593,0,70,1,5,6,7,2,0
83,771,1967,Graduation,Together,54178,0,79,1,2,2,5,2,0
84,11178,1972,Master,Single,42394,1,69,1,1,0,3,7,2
85,2230,1970,PhD,Married,23626,1,84,3,3,1,3,5,2
86,7516,1983,Graduation,Married,30096,1,30,1,2,0,3,6,2
87,7247,1960,Graduation,Widow,47916,0,72,5,7,4,6,6,1
88,11100,1972,Graduation,Divorced,51813,1,37,2,2,0,3,7,2
89,4646,1951,2n Cycle,Married,78497,0,44,1,5,7,12,2,0
90,3037,1983,PhD,Married,50150,0,32,2,5,2,7,5,1
91,1473,1960,2n Cycle,Single,47823,0,0,2,2,0,3,8,2
92,1016,1959,PhD,Single,34554,0,43,2,2,0,3,6,2
93,4518,1979,Graduation,Together,85693,0,59,2,9,5,11,5,0
94,9370,1945,PhD,Married,65846,0,68,1,6,3,6,4,0
95,8908,1959,Graduation,Married,87195,0,35,1,3,11,5,1,0
96,8373,1979,Basic,Together,24594,1,94,1,1,0,3,5,2
97,7533,1964,Graduation,Married,49096,1,15,4,4,1,4,7,2
98,2683,1969,Graduation,Married,52413,0,56,4,6,4,12,6,1
99,3629,1978,Graduation,Single,38557,1,17,2,3,1,3,7,2
100,10991,1960,Master,Married,89058,0,18,1,5,4,4,2,0
101,5077,1979,Graduation,Together,77298,0,46,1,6,6,11,3,0
102,7431,1991,PhD,Single,68126,0,40,1,7,4,5,9,1
103,3267,1963,Master,Together,57288,0,27,3,8,1,8,6,1
104,999,1991,Graduation,Single,86037,0,95,1,6,7,11,3,0
105,9215,1980,PhD,Married,43974,1,19,5,6,4,6,7,1
106,2286,1962,Graduation,Single,50785,1,27,2,2,1,3,6,2
107,1592,1970,Graduation,Married,90765,0,25,0,4,6,5,1,0
108,367,1978,2n Cycle,Married,36550,1,74,5,9,1,5,9,1
109,5234,1967,2n Cycle,Together,30753,1,85,2,1,1,3,5,2
110,9862,1969,Graduation,Together,21918,1,37,2,2,0,3,6,2
111,9805,1953,Master,Together,56129,0,65,4,6,2,10,4,1
112,6205,1967,Master,Single,32557,1,13,3,2,1,3,5,2
113,8442,1985,Master,Married,19510,2,63,2,1,0,3,7,2
114,7386,1976,Graduation,Divorced,30992,1,83,1,1,0,3,7,2
115,7215,1983,Graduation,Single,101970,0,69,0,6,8,13,2,0
116,1491,1965,2n Cycle,Together,71488,0,87,2,3,4,7,1,0
117,11071,1984,Graduation,Single,79607,0,37,1,3,6,6,1,0
118,3381,1953,Master,Married,54348,1,51,2,2,0,4,6,2
119,11051,1956,PhD,Together,77376,1,72,4,6,3,10,4,1
120,8026,1952,Graduation,Married,62998,0,10,5,5,4,5,5,1
121,433,1958,Master,Alone,61331,1,42,5,11,1,6,8,1
122,9597,1969,Graduation,Married,73448,0,10,1,7,2,9,4,0
123,5290,1964,PhD,Married,41551,1,51,5,5,1,5,8,1
124,1685,1967,PhD,Together,62981,0,21,1,4,5,13,3,0
125,5342,1976,Basic,Divorced,9548,1,31,2,1,0,3,8,2
126,9579,1959,PhD,Married,33762,2,61,3,2,2,2,8,2
127,7660,1973,PhD,Alone,35860,1,37,2,1,1,2,5,2
128,1461,1965,PhD,Divorced,36921,1,74,2,2,0,3,7,2
129,821,1992,Master,Single,92859,0,46,1,5,4,12,2,0
130,11084,1976,Master,Together,65104,0,4,2,3,5,7,7,0
131,8690,1962,Graduation,Married,86111,0,73,1,5,7,10,2,0
132,2937,1974,PhD,Single,68352,0,47,3,8,5,9,6,1
133,9701,1988,Graduation,Together,41883,1,13,3,4,2,3,7,2
134,9949,1976,Graduation,Married,59809,0,36,3,3,3,6,8,1
135,10837,1975,Graduation,Married,23957,1,47,1,2,0,3,6,2
136,3120,1981,Graduation,Together,38547,1,49,1,1,0,2,8,2
137,5885,1973,2n Cycle,Married,35688,2,94,7,4,1,4,8,1
138,4050,1966,Master,Married,49605,0,65,1,2,1,4,3,2
139,3830,1953,Master,Married,59354,0,59,1,4,4,7,3,0
140,7987,1969,Graduation,Married,65747,0,96,4,8,1,6,6,1
141,7798,1972,2n Cycle,Together,46344,0,28,4,7,1,5,7,1
142,92,1988,Graduation,Alone,34176,1,12,4,3,0,4,6,2
143,7055,1952,PhD,Together,61010,0,57,2,8,5,11,5,0
144,10240,1949,Graduation,Together,69372,0,10,1,10,4,6,4,0
145,3025,1958,Graduation,Single,49967,0,4,3,6,1,5,7,1
146,9283,1978,Graduation,Single,60199,1,49,1,0,0,3,4,2
147,9970,1977,Graduation,Together,55375,0,3,1,1,1,6,2,2
148,2730,1955,Graduation,Single,80317,0,64,1,3,4,10,1,0
149,2795,1958,Master,Single,30523,2,0,1,1,0,2,7,2
150,9260,1945,PhD,Married,70356,0,20,2,10,6,9,6,1
151,8182,1984,Graduation,Married,23228,1,91,4,3,0,4,8,2
152,10095,1975,PhD,Divorced,74165,0,9,1,5,4,10,2,0
154,4370,1966,Graduation,Together,43482,2,83,3,2,0,4,6,2
155,10573,1953,Graduation,Divorced,62551,0,27,1,6,7,4,3,0
156,3712,1959,Graduation,Divorced,52332,0,63,1,3,2,6,4,2
157,6637,1988,Graduation,Single,66951,0,46,1,3,4,7,1,0
158,3152,1957,Graduation,Together,26091,1,84,3,2,1,3,5,2
159,5610,1965,Graduation,Together,33456,1,58,2,1,0,3,7,2
160,6460,1982,Graduation,Married,28718,1,78,2,2,0,3,8,2
161,1349,1970,Graduation,Married,50447,2,4,1,3,1,3,6,2
162,1880,1959,PhD,Together,53537,1,17,2,2,1,3,5,2
163,641,1967,Graduation,Single,52074,0,77,1,2,2,2,4,2
164,8717,1975,PhD,Married,80427,0,56,1,11,8,8,5,0
165,10314,1948,PhD,Married,83837,0,79,1,9,10,5,4,0
166,10854,1970,PhD,Married,38853,1,90,2,2,0,3,7,2
167,10492,1959,Graduation,Together,38285,2,96,1,0,0,3,2,2
168,6935,1951,2n Cycle,Married,78497,0,44,1,5,7,12,2,0
169,7698,1976,PhD,Married,51650,0,81,1,4,1,4,5,2
170,3559,1988,2n Cycle,Married,16248,1,77,3,2,1,3,6,2
171,10562,1946,Master,Married,66835,0,21,1,6,4,13,2,0
172,10796,1984,Master,Married,30477,1,16,1,1,1,3,6,2
173,2563,1961,Basic,Married,28249,0,80,1,2,0,3,6,2
174,3518,1983,Graduation,Married,25271,1,45,1,1,1,2,9,2
175,5823,1970,PhD,Single,32303,0,63,2,1,0,4,5,2
176,3934,1966,Graduation,Married,61286,0,34,2,7,1,8,5,1
177,6982,1976,Graduation,Married,74068,0,14,1,4,10,9,2,0
178,6431,1964,PhD,Married,45759,1,13,2,2,0,3,7,2
179,9733,1978,Basic,Together,24882,1,52,1,1,1,2,6,2
180,5602,1989,PhD,Together,66973,0,98,1,8,7,12,3,0
181,7829,1900,2n Cycle,Divorced,36640,1,99,1,2,1,2,5,2
182,1324,1988,Graduation,Married,38872,1,93,2,3,0,3,8,2
183,326,1973,Graduation,Married,51148,1,38,4,5,1,6,6,1
184,7224,1977,Graduation,Married,31353,1,24,2,1,1,2,8,2
185,6999,1980,Master,Married,69661,0,80,1,7,3,12,3,0
186,9938,1954,Graduation,Married,80067,0,82,1,4,6,6,2,0
187,6422,1954,Graduation,Married,86718,0,20,1,5,6,5,2,0
188,3182,1973,PhD,Single,46854,1,81,6,5,1,3,8,1
189,7300,1952,Graduation,Divorced,69142,0,50,3,8,1,7,5,1
190,10424,1968,Graduation,Single,75922,0,60,1,4,4,9,1,0
191,8727,1978,Graduation,Divorced,63693,0,63,3,11,6,9,6,1
192,2798,1977,PhD,Together,102160,0,54,0,7,9,10,4,0
193,1030,1965,PhD,Single,40637,1,72,2,1,0,3,7,2
194,624,1984,Master,Single,18890,0,5,1,0,1,2,6,2
195,5176,1988,Graduation,Together,29604,1,88,1,1,0,3,9,2
196,5552,1963,Master,Divorced,48721,1,50,6,4,2,5,6,1
197,868,1966,Graduation,Married,44794,0,99,1,2,0,3,6,2
198,380,1954,Graduation,Divorced,64497,0,17,5,11,4,9,8,1
199,2677,1956,Graduation,Together,46097,0,11,5,3,1,6,4,1
200,6521,1954,Graduation,Together,77972,0,18,1,4,6,9,1,0
201,6927,1968,PhD,Married,44377,1,70,8,5,1,5,8,1
202,2877,1974,Master,Together,46014,1,21,10,7,1,8,7,1
203,0,1985,Graduation,Married,70951,0,66,1,3,4,9,1,0
204,1584,1977,Graduation,Married,41443,1,79,6,8,1,5,8,1
205,7264,1978,2n Cycle,Single,52195,2,2,1,1,0,2,8,2
206,6274,1948,Master,Married,83790,0,81,1,8,10,6,3,0
207,1377,1954,Master,Widow,44551,0,24,2,4,1,5,7,2
208,454,1980,Graduation,Together,69508,1,48,2,11,4,11,6,1
209,1755,1988,2n Cycle,Together,45204,1,93,1,1,1,4,3,2
210,2075,1969,Graduation,Married,72460,0,56,1,3,5,7,1,0
211,4785,1970,PhD,Together,77622,0,3,2,6,3,11,3,0
212,9076,1980,PhD,Married,30732,1,44,4,4,1,4,8,2
213,7079,1962,Graduation,Divorced,63887,0,38,5,9,6,12,6,1
214,4653,1978,Graduation,Together,42011,1,46,4,3,1,4,8,2
215,7375,1976,Graduation,Together,51369,0,84,2,8,2,4,8,1
216,709,1952,Graduation,Divorced,51537,0,27,3,2,2,11,8,1
217,460,1972,PhD,Married,79930,0,72,1,3,5,8,2,0
218,3726,1986,PhD,Together,34320,1,66,1,1,0,2,8,2
219,6798,1966,Graduation,Single,37070,1,30,9,5,1,8,7,1
220,5341,1962,2n Cycle,Divorced,81975,0,2,1,6,3,4,7,1
221,1606,1971,Graduation,Together,38590,1,65,1,1,0,2,8,2
222,9617,1951,Graduation,Single,15033,0,37,1,1,0,3,3,2
223,3233,1965,PhD,Married,62745,0,89,3,7,8,11,5,0
224,89,1975,2n Cycle,Married,22212,1,49,2,2,0,4,6,2
225,2936,1982,Master,Together,23661,1,46,1,1,0,3,7,2
226,9449,1958,PhD,Single,79761,0,32,1,5,2,11,3,0
227,7297,1973,Graduation,Single,7500,1,54,4,3,1,3,7,2
228,11004,1893,2n Cycle,Single,60182,0,23,1,1,0,2,4,2
229,313,1968,Graduation,Widow,73455,0,98,1,6,5,10,3,0
230,9940,1958,Graduation,Together,64961,0,97,2,6,4,4,3,0
231,10735,1971,Graduation,Single,22804,1,75,1,2,0,2,9,2
232,9529,1990,Graduation,Married,73687,0,8,1,3,9,9,2,0
233,6439,1958,Graduation,Married,61074,0,37,7,11,5,8,7,1
234,7411,1964,PhD,Married,31686,1,31,2,1,0,3,6,2
235,2176,1972,Graduation,Married,80134,1,40,2,5,3,6,6,0
236,9265,1953,Graduation,Married,75027,0,74,2,9,4,6,5,1
237,8867,1988,PhD,Married,67546,0,90,1,4,10,5,3,0
238,8932,1969,Master,Together,65176,0,57,4,9,6,6,6,1
239,10236,1975,Master,Single,31160,1,59,2,2,0,3,8,2
240,6340,1985,Graduation,Single,29938,1,52,2,1,0,3,6,2
241,10089,1974,Graduation,Divorced,102692,0,5,1,6,9,13,2,0
242,2227,1958,2n Cycle,Together,26490,0,92,2,3,1,5,6,2
243,10992,1967,Graduation,Together,75702,1,77,5,4,6,11,8,1
244,5304,1974,PhD,Single,30899,1,35,2,1,0,3,6,2
245,309,1961,PhD,Together,63342,0,48,3,8,3,5,6,1
246,3406,1964,Graduation,Single,45989,0,97,4,3,2,7,3,1
247,2661,1964,Graduation,Single,18701,1,95,4,2,0,4,5,2
248,3153,1957,PhD,Single,40737,2,24,1,1,0,2,8,2
249,10264,1979,Graduation,Divorced,15287,1,60,2,1,1,2,7,2
250,1184,1968,PhD,Divorced,69674,0,46,3,10,2,10,5,1
251,4200,1970,Master,Married,44159,1,85,4,4,1,6,5,1
252,9396,1978,PhD,Married,37717,1,31,1,1,0,2,9,2
253,2387,1952,Master,Together,43776,1,9,6,5,2,4,8,1
254,6690,1966,Master,Married,38179,1,30,4,3,1,3,7,2
255,1225,1963,Graduation,Married,80124,0,47,1,3,7,8,1,0
256,9703,1970,PhD,Married,38097,1,70,4,3,2,2,7,2
257,291,1970,Graduation,Married,72940,0,13,1,3,3,6,1,0
258,4557,1970,Graduation,Together,22070,1,11,2,2,2,2,6,2
259,2379,1953,Graduation,Single,69267,0,31,2,3,4,5,7,2
260,5726,1983,Master,Single,31788,1,15,3,3,0,4,5,2
261,3066,1975,PhD,Together,61905,0,2,2,4,2,4,5,2
262,6336,1960,Graduation,Married,29315,1,55,4,2,0,4,6,2
263,10967,1963,Graduation,Divorced,33378,1,38,3,2,0,4,7,2
264,2304,1963,PhD,Together,66313,0,86,2,6,3,12,4,0
265,3445,1956,Graduation,Single,60714,0,56,2,7,4,10,5,0
266,7828,1981,Master,Together,77882,0,29,1,3,3,5,1,0
267,3762,1986,PhD,Single,69867,0,30,1,3,5,8,1,0
268,4391,1968,Master,Divorced,63841,0,64,1,9,3,9,6,1
269,4669,1981,Basic,Married,24480,1,46,3,3,0,4,7,2
270,10144,1976,Graduation,Together,51369,0,84,2,8,2,4,8,1
271,8652,1946,Graduation,Together,37760,0,20,2,4,1,6,7,2
272,1672,1974,PhD,Together,65640,0,74,1,5,1,8,2,0
273,8962,1975,Master,Married,44319,1,18,2,2,0,3,5,2
274,9974,1974,Graduation,Married,30631,1,75,1,3,1,2,7,2
275,10983,1952,Graduation,Together,75278,0,17,1,6,3,13,3,0
276,8148,1956,Master,Together,50898,1,88,13,6,2,12,5,1
277,10102,1966,Graduation,Widow,79946,0,19,1,5,11,5,3,0
278,4697,1949,Master,Divorced,35416,0,62,3,7,1,5,8,1
279,9262,1984,2n Cycle,Together,32414,0,11,1,1,0,3,7,2
280,7254,1969,Graduation,Together,38361,1,74,3,3,1,3,7,2
281,4543,1980,Graduation,Married,82497,0,32,1,2,7,9,4,0
282,4927,1971,Graduation,Together,16626,2,76,3,3,0,3,9,2
283,10451,1965,Graduation,Together,29672,1,6,1,0,0,3,6,2
284,2926,1952,Master,Together,55951,0,62,3,3,6,11,8,1
285,2874,1988,2n Cycle,Divorced,35388,1,20,1,1,0,3,7,2
286,9738,1986,Master,Together,42386,1,43,1,3,0,3,8,2
287,7119,1982,Graduation,Single,68627,0,45,1,2,3,6,1,0
288,3924,1965,PhD,Divorced,57912,0,34,5,8,3,12,5,1
289,5827,1958,Graduation,Divorced,35246,1,53,4,3,1,3,5,2
290,5596,1956,2n Cycle,Together,58821,0,44,1,9,2,9,6,1
291,10812,1978,PhD,Married,46377,1,89,1,2,1,3,4,2
292,1717,1988,Graduation,Single,39747,1,43,3,5,1,4,8,2
293,9491,1984,Graduation,Together,23976,1,68,3,3,1,3,7,2
294,9274,1961,Master,Married,80950,0,44,1,6,7,9,2,0
295,6609,1966,Graduation,Widow,27038,0,64,1,3,0,3,9,2
296,6963,1947,Graduation,Single,77457,0,85,1,2,5,10,1,0
297,4440,1964,Master,Married,64100,0,93,1,8,3,6,7,1
298,1379,1992,Master,Together,42670,0,12,1,4,2,4,4,2
299,10032,1976,Graduation,Divorced,12571,1,86,4,3,1,3,6,2
300,2826,1967,Graduation,Married,22574,2,28,2,2,0,3,7,2
301,6320,1976,Master,Single,70893,0,42,1,6,6,10,3,0
302,3050,1966,Graduation,Married,54198,1,13,6,3,1,6,4,1
303,231,1956,Master,Together,28839,1,86,2,2,0,3,5,2
304,2392,1972,Graduation,Married,40321,1,59,2,3,0,3,7,2
305,9478,1985,Graduation,Single,66503,1,30,2,4,3,6,3,0
306,113,1951,Graduation,Married,30833,1,33,2,1,0,3,5,2
307,1802,1971,Graduation,Married,64795,0,23,3,3,3,12,2,0
308,520,1974,Graduation,Married,34421,1,81,1,1,0,2,7,2
309,8275,1965,PhD,Divorced,47025,1,6,1,1,0,2,7,2
310,9750,1961,PhD,Divorced,64325,0,41,5,10,3,5,7,1
311,2607,1953,Graduation,Single,40464,0,78,6,8,2,8,8,1
312,7214,1957,Graduation,Married,62187,0,49,1,4,8,5,3,0
313,5835,1976,PhD,Divorced,14849,1,39,3,2,0,4,8,2
314,3896,1984,Graduation,Married,27255,1,3,1,1,0,3,7,2
315,10350,1950,PhD,Married,54432,2,37,1,1,0,3,4,2
316,7786,1986,PhD,Single,29999,1,22,4,3,1,4,8,2
317,2861,1983,Graduation,Single,24072,1,79,1,1,0,2,8,2
318,663,1989,PhD,Single,33996,0,46,1,1,1,3,4,2
319,10675,1956,PhD,Married,66334,0,82,2,9,3,5,5,1
320,2521,1971,Master,Married,35178,1,10,1,1,1,2,7,2
321,9592,1983,Graduation,Together,22010,1,51,2,2,0,3,8,2
322,10151,1960,Graduation,Divorced,62204,0,38,1,4,5,12,3,0
323,7381,1968,Graduation,Divorced,75693,0,10,1,11,4,6,4,0
324,4099,1972,Graduation,Married,30675,1,14,1,1,0,3,8,2
325,9560,1965,Graduation,Together,83003,0,18,1,7,6,8,3,0
326,1150,1899,PhD,Together,83532,0,36,1,4,6,4,1,0
327,10172,1988,Graduation,Single,68655,0,95,1,4,5,11,3,0
328,11191,1986,Graduation,Divorced,41411,0,11,1,2,1,4,6,2
329,9707,1969,PhD,Married,55212,0,65,3,4,2,11,8,1
330,6245,1950,PhD,Together,59292,0,71,2,3,5,8,3,0
331,8234,1973,Basic,Together,27190,1,13,1,1,0,2,8,2
332,1411,1952,Graduation,Divorced,82623,0,58,1,2,9,4,1,0
333,8553,1965,Graduation,Married,44300,1,65,2,1,0,3,6,2
334,1826,1970,Graduation,Divorced,84835,0,0,1,4,4,6,1,0
335,8842,1971,Graduation,Widow,30372,1,33,3,2,0,3,7,2
336,11030,1976,Master,Married,33181,1,90,1,1,0,2,6,2
337,2579,1957,Graduation,Married,71113,0,95,4,6,7,9,4,0
338,175,1986,Graduation,Married,71952,1,93,2,8,4,8,4,0
339,9185,1966,PhD,Single,69759,0,38,3,4,6,5,3,0
340,11056,1974,Graduation,Married,72099,0,18,1,3,4,10,1,0
341,9365,1976,PhD,Single,60000,0,57,5,11,3,5,6,1
342,6201,1978,Graduation,Single,38643,1,45,2,2,0,3,7,2
343,2061,1955,Graduation,Married,50737,0,61,1,2,0,4,6,2
344,6184,1969,PhD,Married,68462,0,6,1,3,3,8,1,0
345,6142,1943,Master,Married,65073,0,65,1,5,3,5,2,0
346,4107,1948,PhD,Together,46681,0,52,2,4,6,4,5,0
347,7274,1957,Graduation,Married,78618,0,87,1,4,7,10,2,0
348,9336,1969,PhD,Widow,62187,0,38,3,6,2,10,4,1
349,2958,1978,Graduation,Married,28442,2,53,3,2,1,4,4,2
350,933,1978,PhD,Married,37717,1,31,1,1,0,2,9,2
351,5837,1967,Graduation,Married,51479,1,67,7,6,3,6,7,1
352,10704,1969,Graduation,Single,54803,0,65,2,6,2,9,4,0
353,5125,1960,Graduation,Married,79530,0,64,1,4,10,11,2,0
354,4432,1976,Graduation,Divorced,31615,1,82,2,2,0,3,7,2
355,5955,1962,Graduation,Together,72025,0,27,1,4,3,8,3,0
356,2928,1975,PhD,Single,52614,0,63,2,2,4,8,8,2
357,5680,1984,2n Cycle,Married,35684,1,66,1,1,0,3,6,2
358,10313,1975,Graduation,Married,48178,1,69,6,5,1,4,8,1
359,2557,1970,Master,Single,29548,1,52,1,1,1,2,4,2
360,1245,1966,Graduation,Single,63810,0,45,4,4,3,12,8,1
361,1519,1972,PhD,Single,38578,1,2,3,3,0,3,8,2
362,10703,1975,Master,Single,46098,1,86,4,3,2,2,8,2
363,1726,1970,Graduation,Single,22585,0,23,1,1,1,2,9,2
364,4459,1989,Graduation,Single,30279,1,13,1,1,0,3,8,2
365,1729,1961,PhD,Together,66426,0,14,2,3,5,10,6,0
366,1517,1969,Graduation,Single,30822,1,92,1,1,0,3,7,2
367,2098,1969,PhD,Married,33581,2,38,1,1,0,2,8,2
368,9543,1985,Graduation,Married,19986,1,74,1,0,0,3,7,2
369,6878,1954,Graduation,Widow,27421,0,14,3,4,1,6,7,2
370,3310,1973,2n Cycle,Married,35688,2,94,7,4,1,4,8,1
371,2724,1981,Master,Single,36143,1,33,1,0,1,2,3,2
372,948,1971,Graduation,Single,10245,1,32,3,1,2,2,5,2
373,6720,1968,Master,Together,43795,0,11,3,7,3,4,7,1
374,6202,1960,Graduation,Together,63381,0,78,4,4,5,13,2,0
375,2066,1949,Graduation,Together,38823,0,56,1,2,1,3,6,2
376,9799,1968,PhD,Divorced,83664,1,57,3,2,2,12,5,0
377,8318,1979,Graduation,Together,90300,0,7,0,5,6,8,1,0
378,5642,1979,Master,Together,62499,1,0,2,3,1,6,4,2
379,2669,1993,Graduation,Single,74293,0,66,1,5,4,6,2,0
380,455,1946,PhD,Married,51012,0,86,1,4,1,4,6,2
381,7683,1968,Master,Married,70777,0,80,3,5,3,12,3,0
382,3428,1991,PhD,Together,68682,0,56,1,4,9,10,2,0
383,7414,1971,Graduation,Married,43824,1,18,4,3,1,4,8,2
384,6354,1984,Graduation,Together,15345,1,51,2,1,1,2,8,2
385,798,1987,Graduation,Single,23442,1,71,1,1,0,3,7,2
386,8213,1980,2n Cycle,Together,14515,1,71,4,2,2,3,7,2
387,2488,1956,2n Cycle,Divorced,31395,1,80,4,2,1,3,6,2
388,9999,1965,Graduation,Together,75276,0,2,1,9,4,9,5,0
389,7617,1974,Graduation,Single,42373,1,83,5,2,1,5,5,2
390,615,1960,Graduation,Together,30507,0,29,1,5,1,4,7,2
391,2552,1955,PhD,Single,55521,1,11,9,6,3,6,7,1
392,194,1965,Graduation,Married,48006,1,55,1,1,0,3,6,2
393,3645,1972,PhD,Single,27213,1,19,3,2,0,4,8,2
394,8890,1971,PhD,Divorced,65808,1,1,3,5,1,5,6,1
395,5049,1974,PhD,Together,30351,1,19,1,3,0,2,9,2
396,9973,1963,Graduation,Married,50437,0,28,3,7,1,8,7,1
397,7301,1982,2n Cycle,Single,23616,1,76,2,3,0,3,8,2
398,10882,1976,Graduation,Married,53858,0,50,4,4,3,6,4,1
399,7030,1955,PhD,Married,66465,0,1,3,11,9,12,6,1
